text,label
Russia accuses British man caught fighting for Ukraine of terrorism,Not-Sarcastic
San Francisco bans smoking inside apartments; pot smoking OK,Not-Sarcastic
"Elon Musk Throws a S--t Fit Over the Possibility of Being Taxed His Fair Share | As a reminder, Musk was worth $287 billion as of yesterday and paid nothing in income taxes in 2018.",Not-Sarcastic
maybe because everyone is leaving the State.,Sarcastic
Joey Chestnut Eats Entire Cast Of ‘Stranger Things’ In Under 10 Minutes,Not-Sarcastic
More than 8 tons of seized cocaine worth $183M offloaded in Fort Lauderdale,Not-Sarcastic
TalkSPORT get Olympics radio rights. ,Not-Sarcastic
"Cops take seized SUV for joyride; owner tracks car, locks them inside for 3 hrs",Not-Sarcastic
Overconfidence? Hillary Clinton Has Already Started Hurling Trash Bags Full Of Her Clothes Over The White House Fence,Sarcastic
James Clapper Said He ‘Never Saw Direct Empirical Evidence’ of Trump-Russia Collusion in FBI Interview,Not-Sarcastic
Kellyanne Conway Tests Positive for COVID-19,Not-Sarcastic
"For 35 years, CNN has been my primary news source. That ended last night.",Not-Sarcastic
This podcast is supported by advertising outside of the UK,Not-Sarcastic
WITHDRAWN: The association between adult penile length and IQ: evidences from 139 countries,Not-Sarcastic
Federal appeals court strikes down ban on handgun sales to teens,Not-Sarcastic
‘Goblin Mode’ Is Oxford’s 2022 Word of the Year,Not-Sarcastic
Iconic Napalm Rights Advocate Dead At 100,Sarcastic
"Bernie Sanders staffers complained about the campaign’s use of Amazon, a frequent Sanders target",Not-Sarcastic
Cherokee Nation withdraws from council of Cherokee tribes over disagreements,Not-Sarcastic
"Do these toddlers forget we live in a world with nukes? Muricans are so proud of their money laundering gun budget, meanwhile Britain alone could turn the USA into a parking lot. I mean, more than it already is 🤣",Sarcastic
"Why does CNN feature the Trump ""Whisperer"" Haberman?",Not-Sarcastic
Russia should lose place on UN Security Council - Irish Prime Minister,Not-Sarcastic
"As Trump Blames DEI for Plane Crash, Report Shows Understaffed Air Traffic Control",Not-Sarcastic
The Grass Arena 1991 BBC Drama,Not-Sarcastic
"Bill Gates, the world's second-richest person behind Jeff Bezos, wants rich people to pay higher taxes: “We've updated our tax system before to keep up with changing times, and we need to do it again, starting with raising taxes on people like me.""",Not-Sarcastic
UN agency in Gaza says urgent ceasefire is 'a matter of life and death' for millions of Palestinians,Not-Sarcastic
I Won't Have My Daughter Bringing A Black Man Into This House Until I've Tidied Up And Created A Welcoming Environment,Sarcastic
Discussion Thread: White House Press Briefing – 05/01/2020 | Live - 2:00pm EDT,Not-Sarcastic
Kamala Harris wants to give transgender surgery to illegal aliens in prison?!?!?,Sarcastic
No 10 blocks beaver release plan as officials view it as ’Tory legacy’,Sarcastic
CNN back-peddling after fraudulent coverage of Rittenhouse,Not-Sarcastic
"Student with special needs allegedly called 'bigot,' asked to explain sexual acts in Calif. school",Not-Sarcastic
Saturday Morning Political Cartoon Thread,Not-Sarcastic
What To Know About MDMA Therapy,Not-Sarcastic
Belarus strongman wins a 7th term in an election the opposition calls a farce,Not-Sarcastic
PGA Tour implored to start publicly humiliating their own players to stop big problem after the Farmers Insurance Open,Sarcastic
"Across Asia, hundreds of millions gather to mark lunar new year",Not-Sarcastic
Breakaway Ministries Sets Texas A&M on Fire for God,Sarcastic
"Palestinian death toll in Gaza exceeds 10,000, according to Health Ministry",Not-Sarcastic
white cat owns white house,Sarcastic
[Eye 1562] - Cover - Starting to look like a pantomime,Not-Sarcastic
REAL LIFE STORIES FROM REFUGEES IN ITALY,Not-Sarcastic
Ivanka Trump and Jared Kushner spent $100K of taxpayer money renting a bathroom so Secret Service agents didn't have to use theirs,Sarcastic
"We're at the ""It isn't happening yet!"" stage of denial.",Sarcastic
3-Year-Old Vows To Appeal Parents’ Decision To Keep Newborn Baby Brother,Sarcastic
[Eye 1438] - Cover - Trumped,Not-Sarcastic
U.S. Fish And Wildlife Officials Release Photos Of Missing Perch,Sarcastic
Mississippi bill would pay bounty hunters to catch undocumented immigrants,Not-Sarcastic
Russian driver fined for his car's shadow,Not-Sarcastic
What did the BBC ever do for us?,Not-Sarcastic
Trump Gives Bomber and Jan 6 Terrorist Obama Address,Sarcastic
Oh I give a lot of fuck about him.,Sarcastic
"Gaza death toll: More than 30,000 killed since Israel-Hamas war began, Palestinian health ministry says.",Not-Sarcastic
CNN and the Left need to take a good hard look at how they run for elections in the future.,Not-Sarcastic
There’s Always A Catch: This Walkable City With A Robust Public Transport Network Is Boston,Sarcastic
"As CNN continues to take a hard right, Anderson Cooper is the biggest disappointment to me out of many disappointments.",Not-Sarcastic
Risks of US electoral chaos deepen after Trump is barred from another state ballot,Not-Sarcastic
"After Debate, Middle-School Class Decides Not to Eat Its Pet Fish",Sarcastic
Pothole on Highway 101 in Redwood City leads to dozens of flat tires,SNot-Sarcastic
"In Elon Musk, Libertarianism and Authoritarianism Combine",Not-Sarcastic
Funny Blooper As Richard Engel Loses Earpiece On Live Meet The Press,Not-Sarcastic
BBC sets up complaints line for 'too much TV coverage' of Prince Philip's death,Not-Sarcastic
Baby gorilla recovering after rescue from hold of Turkish Airlines plane,Not-Sarcastic
Forgot to add that as a poll option,Sarcastic
Kansas City to consider ordinance requiring all wheels of vehicle be on the ground,Sarcastic
Amnesty International: U.S. police must end militarized response to protests,Not-Sarcastic
"German nurse swaps vaccine for saline; 9,000 people need new shots",Not-Sarcastic
"russia blocked 417000 websites in 2024, media reports",Not-Sarcastic
Violent criminals are not the same as Jesus.,Not-Sarcastic
"Upset over LGBTQ books, a Michigan town defunds its library in tax vote",Not-Sarcastic
Megathread: Manhattan Grand Jury Votes To Indict Trump,Not-Sarcastic
"Russell Vought, the Man Behind Trump’s Budget Freeze",Not-Sarcastic
Eye 1336 | Cover | Lord Luvvieson's Report: Historic Fudge Agreed,Not-Sarcastic
Survivors demand Marjorie Taylor Green resign over more school shooting conspiracy comments,Not-Sarcastic
"The commercials are just relentless. I'm sure it's been discussed before, but this is totally ridiculous. Four minutes and 30 seconds of commercials for 5 minutes of content. I guess I don't really have a point other than it's just super aggravating.",Sarcastic
I’m usually a “block and ignore” type of person but this guy was persistent on proving I deliberately reposted. (It probably was an overused idea but I wouldn’t know that),Sarcastic
DJI's Response to the BBC's documentary on drones,Not-Sarcastic
Someone Was Actually Arrested For In-Person Voter Fraud. She's A Trump Supporter.,Not-Sarcastic
Report: Trump Conducted Illegal Business In Cuba,Not-Sarcastic
Joe Biden: 'Dregs of society' support Donald Trump,Not-Sarcastic
"New Zealand secures enough vaccine for all New Zealanders, and six pacific nations",Not-Sarcastic
Bernie Sanders should accept it is down to a two-person race: Donald Trump and Joe Biden,Not-Sarcastic
Rich White People Shunning Other Rich White People For Supporting Donald Trump Is Hilarious,Sarcastic
US House of Representatives votes to recognize Armenian genocide,Not-Sarcastic
Eric Trump cancels event at Michigan gun shop after former employee is linked to domestic terror plot against governor,Not-Sarcastic
There’s too many “news” brands on the network ,Not-Sarcastic
Sex Pistol John Lydon: Blowing whistle on Jimmy Savile got me banned from BBC,Not-Sarcastic
Couple rewrites 'Baby It's Cold Outside' to emphasize importance of consent,Not-Sarcastic
"Bob Barr: Virginia, birthplace of our liberty, now governed by gun control tyrants",Not-Sarcastic
Very thoughtful birthday present 👍,Sarcastic
"DOJ can resume criminal probe of classified documents from Mar-a-Lago, appeals court says",Not-Sarcastic
"Scientists Finally Confess Triceratops Not Real, Evolution A Hoax",Sarcastic
A tribute video to Larry King and his revolutionary talk show,Not-Sarcastic
"Which year was the worst? 2001 (The year of the 9/11 attacks), 2008 (The year of the worst recession since 1929), 2016 (The Election of Donald J Trump) or 2020 (When the Deadly COVID-19 Pandemic Emerged)",Not-Sarcastic
Notice that CNN.com removed the war that going on in the middle east from its trending list,Not-Sarcastic
Hundreds of 'No-Go Zones' Across France Are Off-Limits to Non-Muslims,Not-Sarcastic
Life: 5 Airbnb Hosts Tell Us Their Rental Horror Stories,Not-Sarcastic
"Pete Buttigieg faces backlash after speech at Tea Party event resurfaces online: ""He's done. Absolutely done""",Not-Sarcastic
The Onion: Trump Forced To Play Glockenspiel At Rally After Every Artist Bars Use Of Songs,Sarcastic
"BBC is so Tory these days I’m done. Dystopian capitalist monarchy of the Divided Kingdom. Tax haven to the rich, greedy immoral shit show to the poor. BBC rims it all up. British Bum Cleaners BBC.",Not-Sarcastic
Kash Patel Says He Never Promoted QAnon. Here Are All The Times He Did,Not-Sarcastic
China claims to have a working version of NASA's impossible engine orbiting the Earth - and will use it in satellites 'imminently',Not-Sarcastic
Eyewitnesses film Maccabi fans causing trouble in Amsterdam,Not-Sarcastic
Should Joe Biden Run Again?,Not-Sarcastic
Come on guys why aren't you having sex?!,Sarcastic
I am really happy with CNN Max.,Not-Sarcastic
What happend to strange hill high on bbc iplayer,Not-Sarcastic
"They Said What?!: Find Out What Hailey Rhode Baldwin, Wolfgang Puck, And George Lucas Have To Say",Not-Sarcastic
"They Said What?!: Find Out What Barbara Walters, Ken Griffey Jr., And Sammy Hagar Have To Say",Not-Sarcastic
It'd be really funny if it weren't so true because of mobile tracking -- More Corporations Using Tag And Release Programs To Study American Consumers,Not-Sarcastic
Did anyone else just see CNN cut off the interview with the active duty US soldier supporting Ron Paul? ,Not-Sarcastic
Greta Thunberg's dad did not support her climate activism. Then he saw how it helped her beat depression,Not-Sarcastic
Christopher Nolan Still No Closer To Understanding End Of ‘Tenet’ After Watching Dozens Of YouTube Explainer Video,Not-Sarcastic
"Forget the Gaffes, What About Biden’s Lies?",Not-Sarcastic
Washington jail offering inmates ramen noodles as incentive for getting COVID-19 vaccine,Not-Sarcastic
Desperate Nation Tries Getting On Board With Mass Shootings,Not-Sarcastic
Czech mayor writes letter calling a Chinese diplomat an 'unmannered rude clown' and to apologize for his 'pathetic diplomatic f-ck up' after he threatens Czech Senate Speaker over Taiwan trip,Not-Sarcastic
A doctor has run 22 miles to work and back wearing a mask to help stop the spread of misinformation and conspiracy theories around face coverings and to raise funds for charity. He recorded that oxygen levels never fell below 98% of what it would usually be.,Not-Sarcastic
Mysterious Figure Impossibly Disappears Behind Passing Wienermobile,Sarcastic
Biden explains his foot injury,Not-Sarcastic
‘What Trump Actually Said’: CNN’s Kaitlan Collins Calls Out Fox News For Trump Clip In Kamala Harris Interview,Not-Sarcastic
Report: Most Americans Have Enough Saved For Absolutely Incredible Single Day Of Retirement,Sarcastic
Abby's panel is a circus at this point. ,Not-Sarcastic
Obama Kind Of Hurt No One’s Even Asked For His Endorsement,Sarcastic
Suspected drug dealer arrested after fake name he gave police comes back with warrants,Sarcastic
Doomsday Clock - Bulletin of the Atomic Scientists,Not-Sarcastic
10 Bioluminescent Organisms That Better Cut That Freaky Shit Out Before I Call The Cops,Sarcastic
"White House says that only the original memo calling for the freeze had been rescinded, not federal funding freeze",Not-Sarcastic
Gov. Kate Brown endorses Hillary Clinton for president,Not-Sarcastic
"Russell Brand: #JoeRogan #misinformation #WW3 ""Now It Makes Sense"" [The Independent: “Russell Brand’s mocking of ‘very trustworthy’ Brian Stelter goes viral as comedian’s following grows in US”]",Not-Sarcastic
Iran censors soccer match over 100 times due to woman referee,Not-Sarcastic
Doggo loves watching CNN especially Anderson Cooper,Sarcastic
"Donald Trump Stares Forlornly At Tiny, Aged Penis In Mirror Before Putting On Clothes, Beginning Day",Sarcastic
Penalty Shootout to decide it,Not-Sarcastic
"Liberals will remove 'fraudulent' memberships, as some register their pets to vote",Not-Sarcastic
Argentines hold anti-fascist pride march at home and abroad - Buenos Aires Herald,Not-Sarcastic
Scoop: Inside Biden’s shrinking inner circle,Not-Sarcastic
"Trump criticizes FAA diversity efforts after deadly plane crash, even as he says he doesn't know the cause yet",Not-Sarcastic
Lonsdale desalination plant to quadruple output as reservoirs drop to 20-year low,Not-Sarcastic
"Mr. Drumpf, Your Newest Nightmare Is A Website Called ResistanceHole",Not-Sarcastic
Page 94 The Private Eye Podcast - Episode 28,Not-Sarcastic
"Private spies reportedly infiltrated an Amazon strike, secretly taking photos of workers, trade unionists, and journalists. Now a union is taking legal action.",Not-Sarcastic
"Blonde, Self-Tanning Essex Teen Girl Has Higher IQ Than Einstein And Everyone's Annoyingly Surprised",Not-Sarcastic
"Suspect in UnitedHealthcare CEO slaying played video game killer, friend recalls",Not-Sarcastic
City of El Paso hires legal counsel to help collect Trump campaign’s outstanding debt,Not-Sarcastic
LOoK I MaDE a JoKe,Sarcastic
"TikTokers are telling viewers to point their genitals at the sun to 'increase your vibrations.' Experts warn against it, but 'perineum sunning' keeps going viral.",Not-Sarcastic
Democrat announces resolution to expel Marjorie Taylor Greene from Congress,Not-Sarcastic
Indian spiritual guru is selling feet pictures for Rs 3200 (~$150 in purchase power),Not-Sarcastic
"See CNN's Van Jones crying, emotional reaction to Joe Biden victory against Donald Trump",Not-Sarcastic
Megathread: Joseph R. Biden Sworn in as the 46th President of the United States,Not-Sarcastic
"They Said What?!: Find Out What Jennifer Grey, Krysten Ritter, And Angela Bassett Have To Say",Not-Sarcastic
Krystal Ball: Healthcare CRIMINALS Are Gouging Covid Patients,Not-Sarcastic
No Way To Prevent This Says Only Nation Where This Regularly Happens,Sarcastic
Busted Bragging On Bumble: Capitol Riot Suspect Arrested After Prospective Date Turned Him In To Police,Not-Sarcastic
Schwarzenegger planning to sue oil companies for 'knowingly killing people all over the world’,Not-Sarcastic
The Trump Campaign Accepted Russian Help to Win in 2016. Case Closed.,Not-Sarcastic
Developmentally Disabled Burger King Employee Only Competent Worker,Sarcastic
India accuses Trudeau of 'damaging' ties amid diplomatic row with Canada,Not-Sarcastic
"This guy has been snubbed by YouTube for years, give him some love please! Poster created by u/kelseyiscrazzzy.",Not-Sarcastic
Donut Pillow Shit For Smothering,Sarcastic
The Wrong People Are Really Excited About Pete Buttigieg’s Campaign,Not-Sarcastic
"Trump Widens Lead After Biden’s Debate Debacle, Times/Siena Poll Finds",Not-Sarcastic
‘Black Panther’s Job Is To Stand Outside Of Burning Buildings Doing Karate Until The Fire Department Arrives’: 5 Questions With Michael B. Jordan,Not-Sarcastic
"Job-Hogger: While The Majority Of Her Coworkers Got Laid Off, This Digital Media Employee Is Currently Taking On 4 Jobs’ Worth Of Work",Not-Sarcastic
Dinosaurs' own farts my have caused their extinction.,Not-Sarcastic
"RFK Jr. Says He Won't Take Away Twinkies if Confirmed as Health Secretary — or Diet Coke, 'Which My Boss Loves'",Not-Sarcastic
Sanders warns his supporters against choosing a third party,Not-Sarcastic
Gurneys lining an ER’s hallways may be a sign of God’s incredible love,Not-Sarcastic
Can You Survive Seeing ‘Grease’ On Broadway?,Not-Sarcastic
 ‘Panda Dogs’: Chinese zoo goes viral for luring visitors with painted pups,Not-Sarcastic
"It's one of many government services provided, not a business",Not-Sarcastic
UN Security Council warns against attempts to dismantle UNRWA,Not-Sarcastic
GOP Rep. Steve King: Obama partly to blame for climate that led to Scalise shooting,Not-Sarcastic
E.U. to Cautiously Pare Back Sanctions on Syria,Not-Sarcastic
"Air Force chief of staff nixes 57 shades of nail polish, career field ID patches",Not-Sarcastic
A mask to protect VS a mask to attack lives,Not-Sarcastic
"Saturday's Batch Of 25,000 Votes From Clark County Could Decide Nevada U.S. Senate Race",Not-Sarcastic
"‘Abki baar Trump sarkar’('This time, a Trump government') - India's PM Modi backs US President for second term at White House",Not-Sarcastic
.R.I.P. Peter Usborne 1927 to 2023,Not-Sarcastic
CNN's Brian Stelter Loses 42% of His Audience,Not-Sarcastic
Do millennials agree with Clinton on major issues?,Not-Sarcastic
"Deal Alert: This Kid Has All The Coolest Games, And You Can Play Them At His House If You Can Get Over How Weird He Is",Sarcastic
50 Cent Candy Shop - NYE,Not-Sarcastic
Nation Close To Getting Videoconferencing Software To Work,Sarcastic
"India, Indonesia push for peaceful resolution of South China Sea dispute",Not-Sarcastic
"It costs .8 kids per 1000 homeless people, approximately.",Not-Sarcastic
Democrats Sick Of Being Blamed For Cowardice On Issues They Actually Just Don’t Care About,Sarcastic
North Korea accepts offer from South to meet for peace talks,Not-Sarcastic
It's been 3 years since the last Cressbeckler Stance. What happened? This was my favorite Onion video series!,Sarcastic
Ohio mom with surname ‘Gamble’ arrested after leaving kids in a freezing cold car... outside a casino,Not-Sarcastic
Iran's Khamenei says Israel must halt 'genocide' of Palestinians in Gaza,Not-Sarcastic
US Muslims: Survey suggests nearly half suffer discrimination - BBC News,Not-Sarcastic
State Department deletes a statement condemning Russia over MH17 downing right after Trump's Putin summit,Not-Sarcastic
"I’m Ryan J. Brown, creator of BBC’s comedy horror series 'Wreck'. AMA!",Not-Sarcastic
Jeremy Diamond does exceptional coverage of the airstrike in Gaza. This is the way war needs to be covered.,Not-Sarcastic
Average-speed camera coverage in UK 'doubles' in three years 8,Not-Sarcastic
Wonderful Photos and Films from the Golden Age of BBC Radio - Flashbak,Not-Sarcastic
Bengal man who was saved from suicide attempt gets death penalty for murdering family,Not-Sarcastic
"HC: Except he literally wasn't being racist, contrary to what the media and liberals want you to believe.",Not-Sarcastic
Coronavirus is declared global emergency by World Health Organization as outbreak continues to spread outside China,Not-Sarcastic
"""Don't Be Surprised If There's A War Between Japan And China In The Next Year""",Not-Sarcastic
Crowd torches man's car after he pointed bow and arrow at Utah protesters,Not-Sarcastic
Rochester men die after fertilizing marijuana plants with bat feces,Not-Sarcastic
How The Border Wall Will Be Built,Not-Sarcastic
Simulcast in the 1990s - TV and radio?,Not-Sarcastic
Steve Bannon Wants Matt Gaetz to Expose 'Sexual Depravity' in Congress,Not-Sarcastic
New poll puts Hillary Clinton nine points ahead of Donald Trump,Not-Sarcastic
'Musk Lackeys' Have Reportedly Seized Control of Key Federal Office,Not-Sarcastic
"Israel's claim of near-Hamas victory is false, Hamas battalions are rebuilding - CNN",Not-Sarcastic
Red Crescent: Israeli forces injure Nearly 500 Palestinians in 3 days,Not-Sarcastic
